"id","template_id","title","description","status","pdf_file_name","pdf_content_type","pdf_file_size","pdf_updated_at","created_at","updated_at","tag_id","creator_id","thumbnail_file_name","thumbnail_content_type","thumbnail_file_size","thumbnail_updated_at","crop_marks","share_graphic_file_name","share_graphic_content_type","share_graphic_file_size","share_graphic_updated_at"
40,10,"Never Quit Brand Story","Never Quit Brand Story...",1,"40.pdf","application/pdf",540622,"2017-06-02 03:43:44","2017-03-09 21:03:46","2017-06-02 03:43:44",NULL,1,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
50,4,"Comparison Table By Tim","Integer elit massa, vulputate sit amet blandit ac, laoreet ut nisi. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",-2,"50.pdf","application/pdf",518097,"2017-06-02 03:43:44","2017-03-10 20:47:07","2017-06-02 03:43:44",NULL,2,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
52,11,"General Announcement","Lorem ipsum...",-2,"52.pdf","application/pdf",48508,"2017-06-02 03:43:45","2017-03-13 15:24:05","2017-07-12 18:11:38",NULL,2,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
53,11,"General Announcement","Lorem ipsum...",-2,"53.pdf","application/pdf",2530643,"2017-06-02 03:43:45","2017-03-13 15:24:09","2017-06-02 03:43:45",NULL,2,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
57,11,"My Test of This","Similar to the ""Never Quit Meeting Flyer"" — use this template to announce an event or a recent contract victory within your affiliate. Please make sure to incorporate a high-resolution photo that will work well with the space provided.
 ",-2,"57.pdf","application/pdf",2878922,"2017-06-02 03:43:45","2017-03-13 21:31:06","2017-07-12 18:11:44",NULL,2,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
59,1,"Sector Specific Flyer","Use this flyer when targeting a specific audience – whether it be nurses, correctional officers or sanitation workers. Please make sure to incorporate a high-resolution photo that will work well with the space provided. Add industry-specific language in the left text box and use the text box on the right to include a small quote.",0,NULL,NULL,NULL,NULL,"2017-03-14 19:42:13","2017-03-14 19:42:13",NULL,17,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
60,9,"AFSCME Stands Poster","Already print-ready — use this poster as is or customize it to include an AFSCME affiliate logo.",0,NULL,NULL,NULL,NULL,"2017-03-14 19:49:12","2017-03-14 19:49:12",NULL,19,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
61,9,"AFSCME Stands Poster","Already print-ready — use this poster as is or customize it to include an AFSCME affiliate logo.",0,NULL,NULL,NULL,NULL,"2017-03-14 19:49:24","2017-03-14 19:49:24",NULL,19,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
62,9,"AFSCME Stands Poster","Already print-ready — use this poster as is or customize it to include an AFSCME affiliate logo.",0,NULL,NULL,NULL,NULL,"2017-03-14 19:49:41","2017-03-14 19:49:41",NULL,19,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
65,9,"AFSCME Stands Poster","Already print-ready — use this poster as is or customize it to include an AFSCME affiliate logo.",0,NULL,NULL,NULL,NULL,"2017-03-14 19:50:12","2017-03-14 19:50:12",NULL,7,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
66,8,"2-Sided Postcard","Use this 2-sided postcard as a direct mail piece to bring awareness to your local organizing campaign. On the front side there is placement for up to five headshot photos with attributing quotes listed below. Also, on the back side there is placement for additional contact information and a place to include a permit number OR a U.S. stamp.",0,NULL,NULL,NULL,NULL,"2017-03-14 19:54:43","2017-03-14 19:54:43",NULL,19,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
67,9,"AFSCME Stands Poster","Already print-ready — use this poster as is or customize it to include an AFSCME affiliate logo.",0,NULL,NULL,NULL,NULL,"2017-03-14 20:11:38","2017-03-14 20:11:38",NULL,7,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
68,5,"We Never Quit Poster","Already print-ready — use this poster as is or customize it to include an AFSCME affiliate logo.",0,NULL,NULL,NULL,NULL,"2017-03-14 20:11:48","2017-03-14 20:11:48",NULL,7,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
71,1,"Sector Specific Flyer","Use this flyer when targeting a specific audience – whether it be nurses, correctional officers or sanitation workers. Please make sure to incorporate a high-resolution photo that will work well with the space provided. Add industry-specific language in the left text box and use the text box on the right to include a small quote.",-2,"71.pdf","application/pdf",1145081,"2017-07-07 20:03:57","2017-03-15 17:26:33","2017-07-12 18:11:50",NULL,2,"71.png","image/png",81845,"2017-07-07 20:03:58",0,NULL,NULL,NULL,NULL
76,11,"General Announcement","Similar to the ""Never Quit Meeting Flyer"" — use this template to announce an event or a recent contract victory within your affiliate. Please make sure to incorporate a high-resolution photo that will work well with the space provided.
 ",0,"76.pdf","application/pdf",398398,"2017-06-02 03:43:46","2017-03-15 20:56:01","2017-06-02 03:43:46",NULL,1,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
78,11,"General Announcement","Similar to the ""Never Quit Meeting Flyer"" — use this template to announce an event or a recent contract victory within your affiliate. Please make sure to incorporate a high-resolution photo that will work well with the space provided.
 ",-2,"78.pdf","application/pdf",351711,"2017-07-07 20:04:27","2017-03-16 16:50:31","2017-07-12 18:11:56",NULL,2,"78.png","image/png",48228,"2017-07-07 20:04:28",0,NULL,NULL,NULL,NULL
79,11,"General Announcement","Similar to the ""Never Quit Meeting Flyer"" — use this template to announce an event or a recent contract victory within your affiliate. Please make sure to incorporate a high-resolution photo that will work well with the space provided.
 ",-2,NULL,NULL,NULL,NULL,"2017-03-16 16:53:35","2017-05-23 20:06:58",NULL,1,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
82,11,"General Announcement","Similar to the ""Never Quit Meeting Flyer"" — use this template to announce an event or a recent contract victory within your affiliate. Please make sure to incorporate a high-resolution photo that will work well with the space provided.
 ",0,"82.pdf","application/pdf",2874116,"2017-06-02 03:43:46","2017-03-16 18:15:10","2017-06-02 03:43:46",NULL,2,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
83,8,"2-Sided Postcard","Use this 2-sided postcard as a direct mail piece to bring awareness to your local organizing campaign. On the front side there is placement for up to five headshot photos with attributing quotes listed below. Also, on the back side there is placement for additional contact information and a place to include a permit number OR a U.S. stamp.",0,"83.pdf","application/pdf",141572,"2017-06-02 03:50:30","2017-03-16 18:34:41","2017-06-02 03:50:30",NULL,2,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
92,11,"General Announcement","Similar to the ""Never Quit Meeting Flyer"" — use this template to announce an event or a recent contract victory within your affiliate. Please make sure to incorporate a high-resolution photo that will work well with the space provided.
 ",0,"92.pdf","application/pdf",1171012,"2017-06-02 03:43:46","2017-03-17 20:13:35","2017-06-02 03:43:46",NULL,6,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
99,8,"2-Sided Postcard","Use this 2-sided postcard as a direct mail piece to bring awareness to your local organizing campaign. On the front side there is placement for up to five headshot photos with attributing quotes listed below. Also, on the back side there is placement for additional contact information and a place to include a permit number OR a U.S. stamp.",-2,"99.pdf","application/pdf",455314,"2017-06-02 03:43:47","2017-03-20 15:40:44","2017-07-10 19:46:42",NULL,4,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
100,6,"Never Quit Meeting Flyer","Use this flyer when advertising a specific event – whether it be a union town hall, a stewards meeting or a summer BBQ. Use the appropriate fields to update header; date, time and location information; contact information and general description of your event.",0,"100.pdf","application/pdf",500029,"2017-06-02 03:43:47","2017-03-21 16:08:20","2017-06-02 03:43:47",NULL,2,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
101,5,"We Never Quit Poster","Already print-ready — use this poster as is or customize it to include an AFSCME affiliate logo.",0,"101.pdf","application/pdf",592911,"2017-06-02 03:43:48","2017-03-21 16:13:06","2017-06-02 03:43:48",NULL,2,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
102,11,"Testing on March 21","Similar to the ""Never Quit Meeting Flyer"" — use this template to announce an event or a recent contract victory within your affiliate. Please make sure to incorporate a high-resolution photo that will work well with the space provided.
 ",1,"102.pdf","application/pdf",2837012,"2017-07-07 21:35:46","2017-03-21 16:16:14","2017-07-07 21:35:48",NULL,2,"102.png","image/png",54358,"2017-07-07 21:35:48",0,NULL,NULL,NULL,NULL
103,7,"Never Quit Service Award Certificate","Use this certificate to honor a recent AFSCME Never Quit Service Award winner from your local affiliate.",0,"103.pdf","application/pdf",538850,"2017-06-02 03:43:48","2017-03-21 16:28:00","2017-06-02 03:43:48",NULL,2,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
116,11,"General Announcement","Similar to the ""Never Quit Meeting Flyer"" — use this template to announce an event or a recent contract victory within your affiliate. Please make sure to incorporate a high-resolution photo that will work well with the space provided.
 ",0,NULL,NULL,NULL,NULL,"2017-03-23 16:22:51","2017-03-23 16:22:51",NULL,7,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
118,1,"Sector Specific Flyer","Use this flyer when targeting a specific audience – whether it be nurses, correctional officers or sanitation workers. Please make sure to incorporate a high-resolution photo that will work well with the space provided. Add industry-specific language in the left text box and use the text box on the right to include a small quote.",-2,NULL,NULL,NULL,NULL,"2017-03-24 16:29:26","2017-05-08 21:58:00",NULL,9,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
119,11,"General Announcement","Similar to the ""Never Quit Meeting Flyer"" — use this template to announce an event or a recent contract victory within your affiliate. Please make sure to incorporate a high-resolution photo that will work well with the space provided.
 ",-2,NULL,NULL,NULL,NULL,"2017-03-24 16:57:53","2017-05-08 21:58:03",NULL,9,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
120,4,"Comparison Table","Use this flyer when making a comparison between two subjects. Use the first column to include a topic and use the remaining columns to respond accordingly.",-2,NULL,NULL,NULL,NULL,"2017-03-24 19:17:39","2017-05-08 21:58:07",NULL,9,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
121,11,"General Announcement","Similar to the ""Never Quit Meeting Flyer"" — use this template to announce an event or a recent contract victory within your affiliate. Please make sure to incorporate a high-resolution photo that will work well with the space provided.
 ",-2,NULL,NULL,NULL,NULL,"2017-03-24 19:59:03","2017-05-23 20:06:52",NULL,1,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
122,1,"Sector Specific Flyer","Use this flyer when targeting a specific audience – whether it be nurses, correctional officers or sanitation workers. Please make sure to incorporate a high-resolution photo that will work well with the space provided. Add industry-specific language in the left text box and use the text box on the right to include a small quote.",-2,"122.pdf","application/pdf",2001182,"2017-06-02 03:43:48","2017-03-30 20:18:57","2017-11-07 20:54:35",NULL,70,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
123,1,"Sector Specific Flyer","Use this flyer when targeting a specific audience – whether it be nurses, correctional officers or sanitation workers. Please make sure to incorporate a high-resolution photo that will work well with the space provided. Add industry-specific language in the left text box and use the text box on the right to include a small quote.",-2,"123.pdf","application/pdf",1559342,"2017-06-02 03:43:48","2017-04-03 18:42:34","2017-07-10 19:46:38",NULL,4,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
124,4,"Comparison Table","Use this flyer when making a comparison between two subjects. Use the first column to include a topic and use the remaining columns to respond accordingly.",0,NULL,NULL,NULL,NULL,"2017-04-03 18:42:41","2017-04-03 18:42:41",NULL,16,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
125,4,"Comparison Table","Use this flyer when making a comparison between two subjects. Use the first column to include a topic and use the remaining columns to respond accordingly.",0,"125.pdf","application/pdf",498691,"2017-06-02 03:43:49","2017-04-03 18:43:42","2017-06-02 03:43:49",NULL,16,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
126,1,"Sector Specific Flyer","Use this flyer when targeting a specific audience – whether it be nurses, correctional officers or sanitation workers. Please make sure to incorporate a high-resolution photo that will work well with the space provided. Add industry-specific language in the left text box and use the text box on the right to include a small quote.",0,NULL,NULL,NULL,NULL,"2017-04-03 18:48:31","2017-04-03 18:48:31",NULL,65,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
128,1,"Sector Specific Flyer","Use this flyer when targeting a specific audience – whether it be nurses, correctional officers or sanitation workers. Please make sure to incorporate a high-resolution photo that will work well with the space provided. Add industry-specific language in the left text box and use the text box on the right to include a small quote.",-2,"128.pdf","application/pdf",1496205,"2017-06-02 03:43:49","2017-04-03 18:49:40","2017-07-10 19:46:34",NULL,4,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
130,1,"Sector Specific Flyer","Use this flyer when targeting a specific audience – whether it be nurses, correctional officers or sanitation workers. Please make sure to incorporate a high-resolution photo that will work well with the space provided. Add industry-specific language in the left text box and use the text box on the right to include a small quote.",0,NULL,NULL,NULL,NULL,"2017-04-03 18:49:47","2017-04-03 18:49:47",NULL,6,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
131,1,"Sector Specific Flyer","Use this flyer when targeting a specific audience – whether it be nurses, correctional officers or sanitation workers. Please make sure to incorporate a high-resolution photo that will work well with the space provided. Add industry-specific language in the left text box and use the text box on the right to include a small quote.",0,NULL,NULL,NULL,NULL,"2017-04-03 18:49:49","2017-04-03 18:49:49",NULL,7,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
132,1,"Sector Specific Flyer","Use this flyer when targeting a specific audience – whether it be nurses, correctional officers or sanitation workers. Please make sure to incorporate a high-resolution photo that will work well with the space provided. Add industry-specific language in the left text box and use the text box on the right to include a small quote.",0,NULL,NULL,NULL,NULL,"2017-04-03 18:50:34","2017-04-03 18:50:34",NULL,6,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
133,1,"Sector Specific Flyer","Use this flyer when targeting a specific audience – whether it be nurses, correctional officers or sanitation workers. Please make sure to incorporate a high-resolution photo that will work well with the space provided. Add industry-specific language in the left text box and use the text box on the right to include a small quote.",0,NULL,NULL,NULL,NULL,"2017-04-03 18:50:42","2017-04-03 18:54:05",NULL,68,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
134,1,"Sector Specific Flyer","Use this flyer when targeting a specific audience – whether it be nurses, correctional officers or sanitation workers. Please make sure to incorporate a high-resolution photo that will work well with the space provided. Add industry-specific language in the left text box and use the text box on the right to include a small quote.",0,"134.pdf","application/pdf",1706044,"2017-06-02 03:43:49","2017-04-03 18:51:01","2017-06-02 03:43:49",NULL,7,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
135,4,"Comparison Table","Use this flyer when making a comparison between two subjects. Use the first column to include a topic and use the remaining columns to respond accordingly.",0,NULL,NULL,NULL,NULL,"2017-04-03 18:57:08","2017-04-03 18:57:08",NULL,16,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
137,6,"Never Quit Meeting Flyer","Use this flyer when advertising a specific event – whether it be a union town hall, a stewards meeting or a summer BBQ. Use the appropriate fields to update header; date, time and location information; contact information and general description of your event.",0,"137.pdf","application/pdf",510922,"2017-06-02 03:43:49","2017-04-06 19:21:49","2017-06-02 03:43:49",NULL,58,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
138,5,"We Never Quit Poster","Already print-ready — use this poster as is or customize it to include an AFSCME affiliate logo.",0,"138.pdf","application/pdf",627323,"2017-06-02 03:43:50","2017-04-12 00:50:10","2017-06-02 03:43:50",NULL,32,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
139,5,"We Never Quit Poster","Already print-ready — use this poster as is or customize it to include an AFSCME affiliate logo.",0,NULL,NULL,NULL,NULL,"2017-04-12 00:53:54","2017-04-12 00:53:54",NULL,32,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
140,6,"Never Quit Meeting Flyer","Use this flyer when advertising a specific event – whether it be a union town hall, a stewards meeting or a summer BBQ. Use the appropriate fields to update header; date, time and location information; contact information and general description of your event.",-2,"140.pdf","application/pdf",536870,"2017-06-02 03:43:50","2017-04-12 19:45:17","2018-01-16 16:24:50",NULL,29,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
142,1,"Sector Specific Flyer","Use this flyer when targeting a specific audience – whether it be nurses, correctional officers or sanitation workers. Please make sure to incorporate a high-resolution photo that will work well with the space provided. Add industry-specific language in the left text box and use the text box on the right to include a small quote.",-2,NULL,NULL,NULL,NULL,"2017-05-08 19:53:38","2017-05-08 19:53:54",NULL,2,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
143,13,"Floating Heads Testimonial","Floating Heads Testimonial",-2,NULL,NULL,NULL,NULL,"2017-05-08 20:04:30","2017-07-12 18:14:21",NULL,2,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
144,14,"Sector Specific Member Benefits Flyer","Sector Specific Member Benefits Flyer",-2,NULL,NULL,NULL,NULL,"2017-05-08 20:11:27","2017-05-24 15:34:41",NULL,2,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
145,15,"Sector Specific Member Benefits Flyer (Lorem Ipsem)","Sector Specific Member Benefits Flyer (Lorem Ipsem)",-2,"145.pdf","application/pdf",497016,"2017-06-02 03:43:51","2017-05-08 20:36:43","2017-06-02 03:43:51",NULL,2,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
146,14,"Sector Specific Member Benefits Flyer","Sector Specific Member Benefits Flyer",-2,"146.pdf","application/pdf",474359,"2017-06-02 03:43:52","2017-05-08 21:26:43","2017-06-02 03:43:52",NULL,9,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
149,14,"Testing Flyer","Sector Specific Member Benefits Flyer",-2,NULL,NULL,NULL,NULL,"2017-05-08 21:58:47","2017-05-23 15:19:00",NULL,9,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
150,1,"Sector Specific Flyer","Use this flyer when targeting a specific audience – whether it be nurses, correctional officers or sanitation workers. Please make sure to incorporate a high-resolution photo that will work well with the space provided. Add industry-specific language in the left text box and use the text box on the right to include a small quote.",-2,"150.pdf","application/pdf",1381805,"2017-06-02 03:43:52","2017-05-08 22:18:58","2017-06-02 03:43:52",NULL,9,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
151,5,"We Never Quit Poster","Already print-ready — use this poster as is or customize it to include an AFSCME affiliate logo.",-2,NULL,NULL,NULL,NULL,"2017-05-08 22:19:39","2017-05-23 15:19:52",NULL,9,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
152,9,"AFSCME Stands Poster","Already print-ready — use this poster as is or customize it to include an AFSCME affiliate logo.",-2,NULL,NULL,NULL,NULL,"2017-05-08 22:20:07","2017-05-23 15:19:57",NULL,9,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
153,1,"Sector Specific Flyer","Use this flyer when targeting a specific audience – whether it be nurses, correctional officers or sanitation workers. Please make sure to incorporate a high-resolution photo that will work well with the space provided. Add industry-specific language in the left text box and use the text box on the right to include a small quote.",-2,NULL,NULL,NULL,NULL,"2017-05-09 15:31:10","2017-05-23 15:20:26",NULL,9,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
154,13,"Floating Heads Testimonial","Floating Heads Testimonial",-2,NULL,NULL,NULL,NULL,"2017-05-11 17:34:28","2017-07-10 19:46:31",NULL,4,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
155,10,"Never Quit Brand Story","Already print-ready — use this poster as is or customize it to include an AFSCME affiliate logo and additional contact information.",0,NULL,NULL,NULL,NULL,"2017-05-15 17:51:25","2017-05-15 17:51:25",NULL,6,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
156,10,"Never Quit Brand Story","Already print-ready — use this poster as is or customize it to include an AFSCME affiliate logo and additional contact information.",0,NULL,NULL,NULL,NULL,"2017-05-15 17:51:37","2017-05-15 17:51:37",NULL,6,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
157,11,"General Announcement","Similar to the ""Never Quit Meeting Flyer"" — use this template to announce an event or a recent contract victory within your affiliate. Please make sure to incorporate a high-resolution photo that will work well with the space provided.
 ",-2,"157.pdf","application/pdf",1886126,"2017-06-02 03:43:52","2017-05-17 13:53:36","2017-07-10 19:46:28",NULL,4,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
158,11,"General Announcement","Similar to the ""Never Quit Meeting Flyer"" — use this template to announce an event or a recent contract victory within your affiliate. Please make sure to incorporate a high-resolution photo that will work well with the space provided.
 ",-2,"158.pdf","application/pdf",1886257,"2017-06-02 03:43:52","2017-05-17 14:07:07","2017-07-10 19:46:25",NULL,4,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
159,1,"Tuesday, 5/23","Use this flyer when targeting a specific audience – whether it be nurses, correctional officers or sanitation workers. Please make sure to incorporate a high-resolution photo that will work well with the space provided. Add industry-specific language in the left text box and use the text box on the right to include a small quote.",1,"159.pdf","application/pdf",567653,"2017-06-02 03:43:53","2017-05-23 02:10:54","2017-06-02 03:43:53",NULL,2,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
160,13,"Floating Heads Testimonial","Floating Heads Testimonial",-2,NULL,NULL,NULL,NULL,"2017-05-23 14:33:30","2017-07-10 19:46:22",NULL,4,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
161,13,"Floating Heads Testimonial","Floating Heads Testimonial",-2,"161.pdf","application/pdf",1137235,"2017-06-02 03:43:53","2017-05-23 14:35:39","2017-07-10 19:46:19",NULL,4,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
162,14,"Sector Specific Member Benefits Flyer","Sector Specific Member Benefits Flyer",-2,"162.pdf","application/pdf",702345,"2017-06-02 03:43:53","2017-05-23 14:59:51","2017-07-10 19:46:16",NULL,4,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
163,1,"Sector Specific Flyer","Use this flyer when targeting a specific audience – whether it be nurses, correctional officers or sanitation workers. Please make sure to incorporate a high-resolution photo that will work well with the space provided. Add industry-specific language in the left text box and use the text box on the right to include a small quote.",-2,NULL,NULL,NULL,NULL,"2017-05-23 15:34:01","2017-07-10 19:46:13",NULL,4,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
164,1,"Sector Specific Flyer","Use this flyer when targeting a specific audience – whether it be nurses, correctional officers or sanitation workers. Please make sure to incorporate a high-resolution photo that will work well with the space provided. Add industry-specific language in the left text box and use the text box on the right to include a small quote.",-2,NULL,NULL,NULL,NULL,"2017-05-23 16:02:03","2017-05-23 20:20:43",NULL,9,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
165,1,"CSEA Sector Specific Flyer","Use this flyer when targeting a specific audience – whether it be nurses, correctional officers or sanitation workers. Please make sure to incorporate a high-resolution photo that will work well with the space provided. Add industry-specific language in the left text box and use the text box on the right to include a small quote.",-2,"165.pdf","application/pdf",2612171,"2017-06-02 03:43:53","2017-05-23 16:18:20","2017-06-02 03:43:53",NULL,3,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
